ID#,Voucher,Taxon,Country,Collector,Date,16S,CO1,Ef1-alpha,ArgK,RNApol-2
EU53a,TA321,Aglae caerulea,Colombia,Ramírez,Apr-15-03,EU162926,EU163091,EU163173,EU163007,EU162842
MP145,outg37,Apis andreniformis,China,Roubik,,EU162957,EU163123,EU163210,EU163042,EU162879
MP110,outg10,Apis cerana,Thailand,Roubik,,EU162939,EU163106,EU163190,EU163023,EU162859
MP112,outg12,Apis cerana,Thailand,Roubik,,EU162941,EU163108,EU163192,EU163025,EU162861
MP140,,Apis cerana,Thailand,,,EU162955,,EU163208,EU163040,EU162877
MP111,outg11,Apis dorsata,Thailand,Roubik,,EU162940,EU163107,EU163191,EU163024,EU162860
MP143,outg35,Apis florea,China,Roubik,,EU162956,EU163122,EU163209,EU163041,EU162878
MP113,outg13,Apis koschevnikovi,Thailand,Roubik,,EU162942,EU163109,EU163193,EU163026,EU162862
MP114,outg14,Apis koschevnikovi,Thailand,Roubik,,EU162943,EU163110,EU163194,EU163027,EU162863
MP147,,Apis mellifera,USA,,,AF250955.1,AY114457.1,AF015267.1,NM0010116031,DQ069332.1
MP146,SR2066,Bombus transversalis,Peru,Ramirez,,EU162958,EU163124,EU163211,EU163043,EU162880
MP138,Outg34,Bombus vagans,USA,Ramirez,,EU162953,EU163120,EU163206,EU163038,EU162875
MP124,outg24,Centris sp.,Colombia,Ramirez,,EU162948,,EU163200,EU163032,EU162869
MP106,outg7,Cephalotrigona zexmeniae,Panama,Nieh,Aug-26-99,EU162935,EU163102,EU163186,EU163019,EU162855
MP89,SR2119,Cephalotrigona sp.,Ecuador,Ramirez,Apr-8-05,EU162995,EU163161,EU163248,EU163080,EU162916
MP125,outg25,Epicharis sp.,Colombia,Ramirez,,,EU163115,EU163201,EU163033,EU162870
Eu99,SR699,Eufriesea caerulescens,Mexico,Ramírez,Jul-17-03,,EU163095,EU163178,EU163011,EU162847
EU15b,CS84,Euglossa asarophora,Costa Rica,Skov,Aug-11-02,,EU163090,EU163171,EU163005,EU162840
EU22c,SR346,Euglossa decorata (dark),Colombia,Ramírez,Jan-10-03,EU162925,,EU163172,EU163006,EU162841
EU8,CS155,Euglossa mixta,Costa Rica,Skov,Aug-16-02,,EU163094,EU163177,,EU162846
EU70,Yurr 912,Euglossa villosa,Guatemala,Ramirez,Sep-10-03,,EU163092,EU163175,EU163009,EU162844
EU54,SK02,Eulaema peruviana,Peru,Skov,Apr-1-03,,,EU163174,EU163008,EU162843
EU71,male#1,Exaerete azteca,Mexico,Skov,Jul-26-03,EU162927,EU163093,EU163176,EU163010,EU162845
MP107,outg8,Friesella schrottkyi,Brazil,Nieh,Aug-19-00,EU162936,EU163103,EU163187,EU163020,EU162856
MP108,outg9,Frieseomelitta silvestrii,Brazil,Nieh,Aug-12-00,EU162937,EU163104,EU163188,EU163021,EU162857
MP118,outg18,Geotrigona kraussi,Panama,Roubik,94,EU162945,EU163112,EU163196,,EU162865
MP115,outg15,Lestrimelitta danuncia,Panama,Roubik,92,EU162944,EU163111,EU163195,EU163028,EU162864
MP33,126,Melipona aff. costaricaensis,Panama,Roubik,Jan-Feb 00,EU162968,EU163134,EU163221,EU163053,EU162890
MP94,SR1960,Melipona amazonica,Perú,Ramirez,Mar-4-05,EU163000,EU163166,EU163253,EU163085,
MP82,379,Melipona asilvae,Brazil,Nieh,Aug-26-00,EU162991,EU163157,EU163244,EU163076,EU162912
MP18,101,Melipona beecheii,Mexico,Roubik,Feb-98,EU162960,EU163126,EU163213,EU163045,EU162882
MP83,403,Melipona bicolor bicolor,Brazil,Nieh,Aug-26-00,EU162992,EU163158,EU163245,EU163077,EU162913
MP43,187,Melipona captiosa,French Guiana,Roubik,Sept-12-15-00,EU162976,EU163142,EU163229,EU163061,EU162898
MP37,134,Melipona compressipes compressipes,Brazil,Camargo et al,Jun-2-00,EU162971,EU163137,EU163224,EU163056,EU162893
MP20,114,Melipona compressipes interrupta,French Guiana,Roubik,Apr-94,EU162962,EU163128,EU163215,EU163047,EU162884
MP44,190,Melipona compressipes interrupta,French Guiana,Roubik,Sept-12-15-00,EU162977,EU163143,EU163230,EU163062,EU162899
MP14,84,Melipona costaricaensis,Costa Rica,Roubik,Sep-12-99,EU162954,EU163121,EU163207,EU163039,EU162876
MP21,110,Melipona costaricaensis,Panama,Roubik,Mar-97,EU162963,EU163129,EU163216,EU163048,EU162885
